Discovery Date,File Name,IP Address,ASN,ASN Name,MD5
2012-12-24,www.gavassa.com/sitionuevo/juegos/Bombermania.exe,74{.}53{.}27{.}98,US,21844,"THEPLANET-AS - ThePlanet.com Internet Services, Inc.",471d39a51a79f342033c5b0636c244dc
2012-12-24,marketing-mt.de/r4v.exe,88{.}84{.}137{.}154,DE,24989,IXEUROPE-DE-FRANKFURT-ASN Equinix Germany (Previously IX Europe Germany AS),2e0d973f414015668f38646ce9b68850
2012-12-24,adgraphicdesign.co.uk/st.exe,62{.}255{.}175{.}157,GB,15510,CWCS-PS Compuweb Communications Services Limited,d526661e4f56fc22ff9532085038466a
2012-12-24,www.lochter.de/VzbWGU5p/HFvRrYi.exe,91{.}217{.}86{.}12,DE,197269,BTNET Baumann Technologie GmbH,a82696ea90dde72e472cf567a4f5c160
2012-12-24,msecure.su/citdl/newmixplfiit/cit.exe,173{.}208{.}252{.}200,US,32097,"WII-KC - WholeSale Internet, Inc.",9ffe865c925bf06d35aa6b68cdaf3609
2012-12-24,bcbbikeshow.org.uk/4EM0F6.exe,193{.}202{.}110{.}199,DK,51468,ONECOM One.com A/S,dd61a3978a3453f3acff2ba4314220a4
2012-12-24,narzoquc.ru/keybex3.exe,87{.}110{.}155{.}130,LV,12578,APOLLO-AS LATTELEKOM-APOLLO,8bde6f0ef75f458cab640146de107d8e
2012-12-24,dlfr.pctuto.com/download/pctuto385.exe,46{.}105{.}174{.}27,FR,16276,OVH OVH Systems,2bf58c0e56fd6a4619ad1a5d5c7960dc
2012-12-24,s.winggo.co.kr/tabsync/tabsync.exe,121{.}78{.}93{.}135,KR,9286,LGH-AS-KR LGHitachi,a90597983517171a6668c04264ff57e7
2012-12-24,s3-sa-east-1.amazonaws.com/vonoloa/Contrato_61277.pdf.exe,177{.}72{.}244{.}128,BR,16509,"AMAZON-02 - Amazon.com, Inc.",07230889c033508a77a8b6104cee759d
2012-12-24,,210{.}112{.}10{.}185,KR,9848,GNGAS Enterprise Networks,84ee30ccb73080e27b2c776632bd92a5
2012-12-24,sznaucer-figa.nd.e-wro.pl/obrazki/puzzle/figusia03.exe,217{.}30{.}152{.}177,PL,15857,DIALOG-AS Telefonia Dialog S.A.,09e8f70dbcdc2a07c3af2ba411ad0b28
2012-12-24,handelspartner-neuruppin.de/DRRBUTY.exe,81{.}169{.}145{.}72,DE,6724,STRATO STRATO AG,dd61a3978a3453f3acff2ba4314220a4
2012-12-24,sznaucer-figa.nd.e-wro.pl/obrazki/puzzle/figusia10.exe,217{.}30{.}152{.}177,PL,15857,DIALOG-AS Telefonia Dialog S.A.,4a6f27af59ba790b27dffd26e4b0c87c
2012-12-24,iwhuwugy.ru/keybex3.exe,5{.}20{.}60{.}188,LT,21412,CGATES-AS UAB _Cgates_,32950013c77e95c00f7293b1cb2ef6d9
2012-12-24,sznaucer-figa.nd.e-wro.pl/obrazki/puzzle/figusia02.exe,217{.}30{.}152{.}177,PL,15857,DIALOG-AS Telefonia Dialog S.A.,a748979df66e15cebde1524e80b48d0b
2012-12-24,jonoobsong.com/modules/sms/klicck.exe,5{.}104{.}107{.}122,DE,24961,FIBREONE-AS myLoc managed IT AG,471d6b65638b57404caadca36ac4d375
2012-12-24,veekee.free.fr/petzouille/toutfr-lite.exe,212{.}27{.}63{.}113,FR,12322,PROXAD Free SAS,4c03cd5ba13b24637e70adf2912d3274
2012-12-24,ld.download-guru.com/index.html?s=So:p%2Fo:p%2Fspan=3D,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,799ea0a73f899ce7466b0873400a6391
2012-12-24,wt4.97sky.cn/readink.exe,221{.}209{.}235{.}5,CN,4837,CHINA169-BACKBONE CNCGROUP China169 Backbone,67fd0c68ee28f284ec1118ebe9a10428
2012-12-24,,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,4cbda1aec249091619be955840287b54
2012-12-24,www.ccibltd.net/gt.exe,62{.}255{.}175{.}157,GB,15510,CWCS-PS Compuweb Communications Services Limited,e284989ac226c97021a9a42d17724937
2012-12-24,ld2.download-guru.com/index.php?s=K-LiteCodecPackStandard,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,bd4cbf11f33381f20dde3bf84f2dae3b
2012-12-24,absolutefitnessuk.co.uk/wp-content/uploads/mine.exe,91{.}103{.}216{.}39,GB,29550,SIMPLYTRANSIT Simply Transit Ltd,357598eab681686e2a5d7d0bb4875e8d
2012-12-24,www.lochter.de/VzbWGU5p/HFvRrYi.exe,91{.}217{.}86{.}12,DE,197269,BTNET Baumann Technologie GmbH,49b9c99e175c47ac32271efe74d074ba
